Id,Title,Author,Description,Rating,ISBN,ISBN13,Publish,URL
50000,Narziss und Goldmund: Erzählung,Hermann Hesse,"In de late Middeleeuwen spelend verhaal met als thema het zich eerst in de dood tot verzoening kristalliserende conflict tussen geest en leven, ascese en zinnelijkheid, logos en eros, verbeeld in de relatie tussen de vrienden Narziss en Goldmund.",4.22,3518067745,9783518067741,January 1st 1976 by Suhrkamp (Frankfurt am Main) (first published 1930),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1190538156l/50000.jpg
50001,The Complete Guide to Middle-Earth,Robert   Foster,"Now in a gorgeous new hardcover format with a four-color map of Middle-earth, this is the completely revised guide to every creature, place, and event from the great fantasy epic.",4.17,0345465296,9780345465290,September 30th 2003 by Del Rey (first published July 12th 1974),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1170366180l/50001._SX318_.jpg
50002,"Dear Yeats, Dear Pound, Dear Ford: Jeanne Robert Foster and Her Circle of Friends",Richard Londraville,"The life of a remarkable Adirondack woman (model, journalist, and poet) provides readers with a unique insider's view--drawn from diaries and primary material published here for the first time--into art and literature during the birth of the Age of Modernism.Jeanne Foster challenged the accepted role for women at the turn of the twentieth century. Born on a hardscrabble farm in the Adirondack Mountains in 1879, she was hailed as an important voice in American poetry by 1916 when her first books of verse, Neighbors of Yesterday and Wild Apples were published.She had early success as a model--she was the Harrison Fisher girl of 1903--and later became a journalist for the American Review of Reviews. In 1918, she met John Quinn, patron of the arts, which placed her in the middle of some of the most important literary and artistic movements in the twentieth century. She counted among her friends John Butler and William Butler Yeats, Ezra Pound, James Joyce, Ford Madox Ford, Pablo Picasso, and Constantin Brancusi. This book reveals her dark affair with Aleister Crowley and her great friendship with Tomas Masaryk of Czechoslovakia. Today, Jeanne Foster lies buried in Chestertown, New York, next to her old friend John Butler Yeats.",4.00,081560730X,9780815607304,September 1st 2001 by Syracuse University Press,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348664663l/50002.jpg
50003,Engineering Drawing and Graphic Technology,Thomas Ewing French,"The text is designed for students and teachers in high schools, community colleges, technical institutes, and first-year university level. The text is intended to provide a wide range of topics in the fundamentals of graphics. Full attention is given to modern treatment, up-to-date standards, and ease of organization. The material is organized so as to include more emphasis on newer aspects of the field, such as computer aided drafting (CAD) and a smoother integration of metric units.",4.29,0070223475,9780070223479,May 11th 2001 by McGraw-Hill Science/Engineering/Math (first published January 1st 1972),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388180659l/50003.jpg
50004,Evaporative Air-Conditioning: Applications for Environmentally Friendly Cooling,Gert J. Bom,"'Under the right conditions and applications, evaporative air-conditioning (EAC) technologies can provide excellent cooling and ventilation with minimal energy consumption.' Evaporative air-conditioning technologies are being used increasingly in residential and commercial applications worldwide. EAC technologies, which rely on water as a coolant rather than on chemical refrigerants, are economical to produce and use and have important environmental benefits. This paper introduces the technical aspects of EAC, reviews EAC's scope of application, and surveys the specific climatic conditions under which EAC can be used most effectively in industrialized and developing countries.",0.00,0821343343,9780821343340,March 1st 1999 by World Bank Publications,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356139835l/50004.jpg
50005,Adirondack Portraits: A Piece of Time,Jeanne Robert Foster,"Adirondack Portraits: A Piece of Time is a moving poetic statement about the Adirondack wilderness and the people who fought the mountains' relentless environment to settle there at the end of the nineteenth century. The book is also about the remarkable Jeanne Robert Foster (1879-1970). Born in poverty in the Adirondacks, as a young woman she emerged in the center of the literary and artistic circles of her day, an associate of Ford Madox Ford, James Joyce, Ezra Pound, T. S. Eliot, and the Yeatses, father and son. Adirondack Portraits gives us a glimpse into the early life of Jeanne and some of the influences that helped her step from a harsh physical existence into the unforgettable world of New York, Paris, and London in the 1920s. Above all, her poems and prose pieces are, in the words of Alfred Kazin, an attempt to recover a vanished time, to record with love and admiration and enduring wonder a life of hardship, endless exertion, and perhaps above all, the kind of isolation that used to dominate country life in America.",4.00,0815602057,9780815602057,September 1st 1986 by Syracuse University Press,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1228638051l/50005.jpg
50006,Mr. Sammler's Planet,Saul Bellow,"Mr. Artur Sammler, Holocaust survivor, intellectual and occasional lecturer at Columbia University in 1960s New York, is a 'registrar of madness', a refined and civilized being caught among people crazy with the promises of the future (moon landings, endless possibilities). His Cyclopean gaze reflects on the degradations of city life while looking deep into the sufferings of the human soul. 'Sorry for all and sore at heart', he observes how greater luxury & leisure have only led to more suffering. To Sammler--who by the end of this ferociously unsentimental novel has found the compassionate consciousness necessary to bridge the gap between himself and his fellow beings--a good life is one in which a person does what is 'required of him'. To know and to meet the 'terms of the contract"" was as true a life as one could live. At its heart, this novel is quintessential Bellow: moral, urbane, sublimely humane.",3.76,0670493236,9780670493234,January 30th 1970 by Viking Press (NYC) (first published 1970),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394844085l/50006.jpg
50007,Mr. Sammlers Planet,Saul Bellow,"Mr. Artur Sammler, Holocaust survivor, intellectual and occasional lecturer at Columbia University in 1960s New York, is a 'registrar of madness', a refined and civilized being caught among people crazy with the promises of the future (moon landings, endless possibilities). His Cyclopean gaze reflects on the degradations of city life while looking deep into the sufferings of the human soul. 'Sorry for all and sore at heart', he observes how greater luxury & leisure have only led to more suffering. To Sammler--who by the end of this ferociously unsentimental novel has found the compassionate consciousness necessary to bridge the gap between himself and his fellow beings--a good life is one in which a person does what is 'required of him'. To know and to meet the 'terms of the contract"" was as true a life as one could live. At its heart, this novel is quintessential Bellow: moral, urbane, sublimely humane.",3.76,3404920600,9783404920600,"ils...Original TitleMr. Sammler's Planet ISBN 3404920600 (ISBN13: 9783404920600)CharactersArtur Sammler, Shula Sammler, Margotte Arkin, Elya Gruner, Angela Gruner...more, Wallace Gruner, Lionel Feffer, Eisen, Govinda Lal...lessSettingNew York City, New York(United States)New Rochelle, New York(United States)New York (State)(United States)Literary AwardsNational Book Award for Fiction (1971)Other Editions (69)All Editions | Add a New Edition | Combine...Less DetailEdit Details",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1170366186l/50007.jpg
50008,"The Gospel According to Jesus: What Does Jesus Mean When He Says ""Follow Me""?",John F. MacArthur Jr.,"This expanded edition of the book that created a controversy because it challenged the ""easy believism"" that has characterized some quarters of evangelical Christianity deepens the debate over ""lordship salvation"" and the biblical understanding of faith and works. MacArthur states clearly that there is no eternal life without surrender to the lordship of Christ.",4.42,0310394910,0025986394912,March 1st 1994 by Zondervan (first published 1988),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384259360l/50008.jpg
50009,The Gospel According to Jesus,Stephen Mitchell,"A pocket-sized gift edition of ""The Gospel According to Jesus"", the classic examination of the Gospels in which the accounts of Jesus' words and acts are distilled down the ""essential"" Gospel, minus the later additions by the early Church.",4.23,006095146X,9780060951467,September 1st 1995 by HarperCollins Publishers (first published January 1st 1900),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1170366209l/50009._SX318_.jpg
